id_norma,descripcion
172986,Código Civil
1984,Código Penal
207436,Código del Trabajo
22740,Código de Procedimiento Civil
176595,Código Procesal Penal
5605,Código de Aguas
61438,Ley 19.496 - Protección del Consumidor
141599,Ley 19.628 - Datos Personales
276363,Ley 20.285 - Acceso a Información Pública
29472,Ley 18.045 - Mercado de Valores
29473,Ley 18.046 - Sociedades Anónimas
1058072,Ley 20.720 - Reorganización y Liquidación
1008668,Ley 20.393 - Resp. Penal Personas Jurídicas
1048718,Ley 20.659 - Simplificación Constitución Empresas
1127890,Ley 21.131 - Pago a 30 Días
258377,Ley 20.169 - Competencia Desleal
29597,Ley 18.175 - Quiebras
